description,TotalSalesDollars,ProfitMargin
12 Days of Pearls Gift Set,309.6900000000001,97.67832348477509
4 Orange Vodka,483.78000000000003,85.90268303774444
A Bichot Clos Marechaudes,539.94,67.74086009556618
A Bichot Merc Champs M,515.88,94.5529968209661
Absolut Orient Apple Vodka,119.93999999999998,87.65215941303985
Admiral Nelson Egg Nog,450.3100000000003,79.38753303279964
Alma Negra Gran Almanegra,249.95,86.20524104820964
Altadonna Vermentino,530.4100000000001,96.49327878433664
Anarkos Puglia,299.76,66.21297037630104
Anastasi Estates Messinia Rd,323.73,85.28403299045502
Aresti Pnt Nr Curico Vly,94.80999999999999,96.54044931969202
Arrogant Frog Chardonnay,239.76,67.51751751751752
Auchentoshan Classic Scotch,359.88,94.4009114149161
Bacardi Limon Traveler,409.59000000000015,96.4403427818062
Bacardi Oakheart Spiced Trav,399.6000000000002,98.13313313313314
Barefoot Cellars Rosa Red,406.5800000000002,76.0932657779527
Basilica Amaretto,47.45,85.07903055848261
Black Box Moscato B/B,134.91,70.76569564895115
Blackstone Winemakers Malbec,419.30000000000007,83.25542570951586
C Monaci Kreos Rosato,395.78000000000003,66.20344635908839
C Y Toro Carmenere Terrunyo,175.92000000000002,91.77467030468395
Cambas Nemea RSV Attica Rd,179.88,67.54503002001334
Camila Malbec,234.96,66.24106230847804
Casa Liliana Good Merlot,142.87,81.82963533282003
Ch Cantegril Sauternes 11,449.7500000000001,70.06336853807672
Ch Doisy-Daene Sauternes 11,419.86,85.61663411613395
Ch Fonroque St Emilion 10,103.98,67.53221773417964
Ch Godeau St Emilion 10 Cru,125.97,77.16916726204651
Ch La Dom St Emil Gr Cru 09,334.95,73.33333333333334
Ch La Fleur Patris-Querre 09,493.81000000000006,96.39537473927219
Ch La Gordonne Chapelle Rose,167.94,88.74002619983328
Ch Malartic-Lagraviere Rouge,235.96,67.10459399898288
Ch Musar Hochar Red,329.89,81.44836157507048
Ch Pagodes de Cos 10 Brdx,99.99,67.53675367536755
Ch Petit Bocq Cru Borgeos 10,319.9,93.37605501719287
Ch Rauzan Segla Margaux 09,319.98,66.66666666666667
Ch Talbot St Julien 11 GC,439.92,67.73958901618475
Ch Thivin Cote de Brouilly,528.7700000000001,85.31497626567317
Ch de Berne Rose,449.70000000000005,67.80965087836336
Ch de Bonhoste Red Brdx 09,101.93999999999998,78.94840102020797
Chanrion Cote de Brouilly,379.80000000000007,93.33333333333333
Charles Fournier Rsl,303.81000000000006,69.42826108423029
Charles Joguet Chinon Rose,181.87,75.03711442238962
Cherry On Top Sweet White,64.95,89.00692840646651
Chevalier L'Aujardiere Chard,356.7900000000001,93.73300821211356
Chi Chi's Chocolate Malt RTD,461.58000000000015,98.11083669136444
Chicken & Turkey Cotes du Rh,479.4700000000002,76.34888522743863
Circadia Cab Svgn Napa Vly,74.99,68.03573809841312
Clos LaChance Meritage,399.60000000000014,91.4914914914915
Clos du Bois Chard Calcaire,516.5300000000001,82.7386599035874
Concannon Glen Ellen Wh Zin,15.95,83.44827586206897
Cortijo Rosado Rioja,237.83,69.05352562754909
Crown Royal Apple,27.859999999999996,89.80617372577171
Dad's Hat Rye Whiskey,538.89,81.85158381116739
Dalton Canaan Red,109.89,76.52197652197653
DeKuyper Buttershots Trav,175.84,95.93949044585987
