vendorname,UnsoldInventoryValue
ADAMBA IMPORTS INTL INC,-91.52
ALISA CARR BEVERAGES,-43151.48
ALTAMAR BRANDS LLC,464.23
AMERICAN SPIRITS EXCHANGE,116.76
AMERICAN VINTAGE BEVERAGE,3672.17
ATLANTIC IMPORTING COMPANY,-2898.1600000000003
BACARDI USA INC,-297727.67
BANFI PRODUCTS CORP,15697.410000000003
BLACK PRINCE DISTILLERY INC,-3105.6200000000003
BLACK ROCK SPIRITS LLC,0.0
BRONCO WINE COMPANY,250.58
BROWN-FORMAN CORP,177733.74
BULLY BOY DISTILLERS,3432.81
CALEDONIA SPIRITS INC,21690.64
CAMPARI AMERICA,19863.280000000002
CANDIA VINEYARDS,812.1299999999999
CAPSTONE INTERNATIONAL,-122.94
CASTLE BRANDS CORP.,-7444.609999999998
CENTEUR IMPORTS LLC,655.32
CHARLES JACQUIN ET CIE INC,2586.61
CONSTELLATION BRANDS INC,133617.62
CRUSH WINES,-6799.07
Circa Wines,2263.05
DELICATO VINEYARDS INC,7839.169999999998
DIAGEO CHATEAU ESTATE WINES,-38997.98
DIAGEO NORTH AMERICA INC,722209.05
DISARONNO INTERNATIONAL LLC,-14595.500000000004
DJINN SPIRITS LLC,3044.8199999999997
DUGGANS DISTILLED PRODUCTS,13687.75
Dunn Wine Brokers,12299.22
E & J GALLO WINERY,228282.61000000002
EDRINGTON AMERICAS,84028.98
FABRIZIA SPIRITS LLC,511.2400000000007
FANTASY FINE WINES CORP,-91.12
FLAG HILL WINERY & VINEYARD,1885.120000000001
FLAVOR ESSENCE INC,-986.0
FORTUNE WINE BROKERS LLC,-3551.61
FREDERICK WILDMAN & SONS,-46011.799999999996
FULCHINO VINEYARD INC,1350.9499999999998
HAUNTING WHISPER VYDS,456.01
HEAVEN HILL DISTILLERIES,63194.060000000005
HIGHLAND WINE MERCHANTS LLC,91.07
"HOOD RIVER DISTILLERS, Inc.",-2212.12
INCREDIBREW INC,795.8
"IRA GOLDMAN AND WILLIAMS, LLP",-238.6
JEWELL TOWNE VINEYARDS,3110.87
JIM BEAM BRANDS COMPANY,554665.63
KLIN SPIRITS LLC,5168.11
KOBRAND CORPORATION,-23153.59
LABELLE VYDS AND WINERY,2882.45
LAIRD & CO,1006.0899999999999
LATITUDE BEVERAGE COMPANY,16944.99
LUXCO INC,-45223.0
M S WALKER INC,-102891.04999999999
MAJESTIC FINE WINES,114457.32
MANGO BOTTLING INC,12707.99
MARSALLE COMPANY,1742.4599999999998
MARTIGNETTI COMPANIES,-112538.34
MCCORMICK DISTILLING CO,-1219.1299999999999
MHW LTD,-52999.36
MILTONS DISTRIBUTING CO,-58.1
MOET HENNESSY USA INC,126477.69999999998
MOONLIGHT MEADERY,7355.8
NICHE W & S,-7538.130000000001
OLE SMOKY DISTILLERY LLC,4098.51
PALM BAY INTERNATIONAL INC,-918.9499999999988
PARK STREET IMPORTS LLC,7386.959999999999
PERFECTA WINES,791.1599999999917
PERNOD RICARD USA,470625.61
PHILLIPS PRODUCTS CO.,-21780.91
PINE STATE TRADING CO,-15563.019999999997
POVERTY LANE ORCHARDS,-3637.55
PREMIER DISTRIBUTORS,172.10000000000014
"PREMIUM PORT WINES, INC.",1113.52
PROXIMO SPIRITS INC.,62736.51
PSP WINES,7403.91
R.P.IMPORTS INC,-15434.48
REMY COINTREAU USA INC,118598.15
Russian Standard Vodka,-7082.8099999999995
SAZERAC CO INC,198436.41
SAZERAC NORTH AMERICA INC.,25674.41
SEA BREEZE CELLARS LLC,2438.37
SEA HAGG DISTILLERY LLC,6616.480000000001
SHAW ROSS INT L IMP LTD,3797.76
SIDNEY FRANK IMPORTING CO,-487.77000000000044
SILVER MOUNTAIN CIDERS,-145.28
SMOKY QUARTZ DISTILLERY LLC,759.0200000000004
SOUTHERN GLAZERS W&S OF NE,3617.5
SOUTHERN WINE & SPIRITS NE,-71058.27
STAR INDUSTRIES INC.,-4420.150000000001
STATE WINE & SPIRITS,-60411.69
STE MICHELLE WINE ESTATES,41642.560000000005
STELLAR IMPORTING CO LLC,966.88
"STOLI GROUP,(USA) LLC",11631.640000000003
SURVILLE ENTERPRISES CORP,-4325.6
SWEET BABY VINEYARD,16969.87
SWEETWATER FARM,3358.41
Serralles Usa LLC,-11868.29
TAKARA SAKE USA INC,384.99999999999994
TALL SHIP DISTILLERY LLC,551.3800000000001
TAMWORTH DISTILLING,4842.5
THE IMPORTED GRAPE LLC,1919.81
THE PIERPONT GROUP LLC,-7198.89
TREASURY WINE ESTATES,23996.920000000002
TRINCHERO FAMILY ESTATES,27902.719999999998
TY KU LLC,287.7
ULTRA BEVERAGE COMPANY LLP,-188477.66
UNCORKED,0.0
VINEDREA WINES LLC,-5339.2
VINEXTRA INC,884.3799999999999
VINEYARD BRANDS INC,26301.18
VINILANDIA USA,13040.67
VRANKEN AMERICA,-12077.46
WALPOLE MTN VIEW WINERY,1651.29
WEIN BAUER INC,1732.03
WESTERN SPIRITS BEVERAGE CO,-949.609999999999
WILLIAM GRANT & SONS INC,401960.83
WINE GROUP INC,86862.56999999999
ZORVINO VINEYARDS,2864.26
